name,creator,key,tab
America The Beautiful,Katharine Lee Bates,C,6 6 5 5 6 6 -4 -4 5 -5 6 -6 -7 6 6 6 5 5 6 6 -4 -4 -8 7 -8 8 -6 -8 6 8 8 -8 7 7 -7 -7 7 -8 -7 -6 6 7 7 7 -6 -6 7 7 6 6 6 -6 7 6 -8 7
Bridal Chorus,Richard Wagner,C,3 4 4 4 3 -4 -3 4 3 4 -5 -5 5 -4 4 -3 4 -4 3 4 4 4 3 -4 -3 4 3 4 5 6 5 4 3 -4 5 4
Silent Night,Joseph Mohr,C,6 -6 6 5 6 -6 6 5 -8 -8 -7 7 7 6 -6 -6 7 -7 -6 6 -6 6 5 -6 -6 7 -7 -6 6 -6 6 5 -8 -8 -9 -8 -7 7 8 7 6 5 6 -5 -4 4
Twinkle Twinkle,Public Domain,C,4 4 6 6 -6 -6 6 -5 -5 5 5 -4 -4 4 6 6 -5 -5 5 5 -4 6 6 -5 -5 5 5 -4 4 4 6 6 -6 -6 6 -5 -5 5 5 -4 -4 4
Mary Had A Little Lamb,Sarah Hale,C,5 -4 4 -4 5 5 5 -4 -4 -4 5 6 6 5 -4 4 -4 5 5 5 5 -4 -4 5 -4 4
O Christmas Tree,August Zarnack,C,3 4 4 4 -4 5 5 5 5 -4 5 -5 -3 -4 4 3 4 4 4 -4 5 5 5 5 -4 5 -5 -3 -4 4 6 6 5 -6 6 6 -5 -5 -5 -5 -4 6 -5 -5 5 5 3 4 4 4 -4 5 5 5 5 -4 5 -5 -3 -4 4
Camptown Races,Stephen Foster,C,6 6 6 5 6 -6 6 5 5 -4 5 -4 6 6 6 5 6 -6 6 5 -4 -4 5 -4 4 4 4 5 6 7 -6 -6 7 -6 6 6 6 6 5 6 6 6 -6 6 6 -4 -4 -4 5 -4 -4 4
When The Saints Go Marching In,Luther G Presley,C,4 5 -5 6 4 5 -5 6 4 5 -5 6 5 4 5 -4 5 -4 4 4 5 6 6 6 -5 5 -5 6 5 4 -4 4
Oh Suzanna,Stephen Foster,C,4 -4 5 6 6 -6 6 5 4 -4 5 5 -4 4 -4 -5 -5 -6 -6 -6 6 6 5 4 -4 4 -4 5 6 6 -6 6 5 4 -4 5 5 -4 -4 4
America (My Country Tis Of Thee),Samuel F. Smith,C,4 4 -4 -3 4 -4 5 5 -5 5 -4 4 -4 4 -3 4 6 6 6 6 -5 5 -5 -5 -5 -5 5 -4 5 -5 5 -4 4 5 -5 6 -6 -5 5 -4 4
Love Me Tender,Elvis Presley,C,6 7 -7 7 -8 -6 -8 7 -7 -6 -7 7 6 7 -7 7 -8 -7 -8 8 -7 -6 -7 7
Amazing Grace,John Newton,C,6 7 8 -8 7 8 -8 7 -6 6 6 7 8 -8 7 8 -8 9 8 9 8 -8 7 8 -8 7 -6 6 6 7 8 -8 7 8 -8 7
Home On The Range,Dan Kelley,C,4 4 5 -5 6 5 -4 5 -6 -6 -6 6 -6 7 4 4 4 -3 4 -4 4 4 5 -5 6 5 -4 5 -6 -6 -6 6 -6 7 4 4 4 -3 -4 4 6 -5 5 -4 5 4 4 4 5 5 5 -4 5 -5 4 4 5 -5 6 5 -4 5 -6 -6 -6 6 -6 7 4 4 4 -3 -4 4
You Are My Sunshine,Jimmy Davis,C,3 4 -4 5 5 5 -4 5 4 4 4 -4 5 -5 -6 -6 6 -5 5 4 -4 5 -5 -6 -6 6 -5 5 4 4 -4 5 -5 -4 -4 5 4 1
Taps,Daniel Butterfield,C,3 3 4 3 4 5 3 4 5 3 4 5 3 4 5 4 5 6 5 4 3 3 3 4
